issue_id;url;code_seq_with_all_codes;code_seq_abbreviated;code_seq_with_selected_codes;step_seq_with_all_codes;step_seq_with_selected_codes;simplified_step_seq_with_all_codes;simplified_step_seq_with_selected_codes;unsorted_step_sequence_set;sorted_step_sequence_set;n_code_seq_all_codes;n_code_seq_selected_codes;n_step_seq_all_codes;n_step_seq_selected_codes;n_simplified_step_seq_all_codes;n_simplified_step_seq_selected_codes
538721;https://bugzilla.mozilla.org/show_bug.cgi?id=538721;PROBLEM_DESCRIPTION,QUESTION,PROBLEM_CAUSE_IDENTIFICATION,POTENTIAL_SOLUTION_DESIGN,SOLUTION_REVIEW,CODE_IMPLEMENTATION;PRB_DES,QUESTN,PRB_CUS_IDN,POT_SOL_DES,SOL_REV,COD_IMP;PRB_DES,PRB_CUS_IDN,POT_SOL_DES,SOL_REV,COD_IMP;ISU_DES,ISU_ANLYS,SOL_DES,IMPL;ISU_DES,ISU_ANLYS,SOL_DES,IMPL;ISU_DES,ISU_ANLYS,SOL_DES,IMPL;ISU_DES,ISU_ANLYS,SOL_DES,IMPL;ISU_DES,ISU_ANLYS,SOL_DES,IMPL;IMPL,ISU_ANLYS,ISU_DES,SOL_DES;6;6;4;4;4;4
551837;https://bugzilla.mozilla.org/show_bug.cgi?id=551837;PROBLEM_DESCRIPTION,PROBLEM_MOTIVATION,POTENTIAL_SOLUTION_DESIGN,SOLUTION_REVIEW,CODE_IMPLEMENTATION,SOLUTION_VERIFICATION,QUESTION,CODE_REVIEW,CODE_IMPLEMENTATION,CODE_REVIEW,CLARIFICATION,NEW_ISSUE_FILING,STATUS_UPDATE;PRB_DES,PRB_MOTIV,POT_SOL_DES,SOL_REV,COD_IMP,SOL_VER,QUESTN,COD_REV,COD_IMP,COD_REV,CLARIFTN,FLD_NW_ISUE,STATS_UP;PRB_DES,PRB_MOTIV,POT_SOL_DES,SOL_REV,COD_IMP,SOL_VER,COD_REV,COD_IMP,COD_REV;ISU_DES,SOL_DES,IMPL,VER,CR,IMPL,CR;ISU_DES,SOL_DES,IMPL,VER,CR,IMPL,CR;ISU_DES,SOL_DES,IMPL,VER,CR,IMPL,CR;ISU_DES,SOL_DES,IMPL,VER,CR,IMPL,CR;ISU_DES,SOL_DES,IMPL,VER,CR;CR,IMPL,ISU_DES,SOL_DES,VER;13;13;7;7;7;7
552914;https://bugzilla.mozilla.org/show_bug.cgi?id=552914;PROBLEM_DESCRIPTION,PROBLEM_CAUSE_IDENTIFICATION,CODE_IMPLEMENTATION,CODE_REVIEW_REQUEST,CODE_REVIEW,CODE_REVIEW,QUESTION,QUESTION,ANSWER_TO_QUESTION,CODE_IMPLEMENTATION,CODE_REVIEW,CODE_REVIEW,CODE_REVIEW,CODE_REVIEW,CODE_REVIEW,CODE_REVIEW,CODE_IMPLEMENTATION,STATUS_UPDATE,NEW_ISSUE_FILING;PRB_DES,PRB_CUS_IDN,COD_IMP,COD_REV_REQ,COD_REV,COD_REV,QUESTN,QUESTN,ANS_TO_Q,COD_IMP,COD_REV,COD_REV,COD_REV,COD_REV,COD_REV,COD_REV,COD_IMP,STATS_UP,FLD_NW_ISUE;PRB_DES,PRB_CUS_IDN,COD_IMP,COD_REV,COD_REV,COD_IMP,COD_REV,COD_REV,COD_REV,COD_REV,COD_REV,COD_REV,COD_IMP;ISU_DES,ISU_ANLYS,IMPL,CR,IMPL,CR,IMPL;ISU_DES,ISU_ANLYS,IMPL,CR,IMPL,CR,IMPL;ISU_DES,ISU_ANLYS,IMPL,CR,IMPL;ISU_DES,ISU_ANLYS,IMPL,CR,IMPL;ISU_DES,ISU_ANLYS,IMPL,CR;CR,IMPL,ISU_ANLYS,ISU_DES;19;19;7;7;5;5
554061;https://bugzilla.mozilla.org/show_bug.cgi?id=554061;PROBLEM_DESCRIPTION,POTENTIAL_SOLUTION_DESIGN,SOLUTION_REVIEW,ADDITIONAL_CONSIDERATION,REPRODUCTION_ATTEMPT,POTENTIAL_SOLUTION_DESIGN,SOLUTION_REVIEW_REQUEST,ADDITIONAL_CONSIDERATION,REPRODUCTION_ATTEMPT,SOLUTION_REVIEW,REQUIREMENT,CODE_IMPLEMENTATION,CODE_REVIEW,QUESTION,ANSWER_TO_QUESTION,QUESTION,ANSWER_TO_QUESTION,SOLUTION_VERIFICATION;PRB_DES,POT_SOL_DES,SOL_REV,ADD_CON,REP_ATT,POT_SOL_DES,SOL_REV_REQ,ADD_CON,REP_ATT,SOL_REV,REQRMNT,COD_IMP,COD_REV,QUESTN,ANS_TO_Q,QUESTN,ANS_TO_Q,SOL_VER;PRB_DES,POT_SOL_DES,SOL_REV,REP_ATT,POT_SOL_DES,REP_ATT,SOL_REV,COD_IMP,COD_REV,SOL_VER;ISU_DES,SOL_DES,ISU_REP,SOL_DES,ISU_REP,SOL_DES,IMPL,CR,VER;ISU_DES,SOL_DES,ISU_REP,SOL_DES,ISU_REP,SOL_DES,IMPL,CR,VER;ISU_DES,SOL_DES,ISU_REP,SOL_DES,IMPL,CR,VER;ISU_DES,SOL_DES,ISU_REP,SOL_DES,IMPL,CR,VER;ISU_DES,SOL_DES,ISU_REP,IMPL,CR,VER;CR,IMPL,ISU_DES,ISU_REP,SOL_DES,VER;18;18;9;9;7;7
558970;https://bugzilla.mozilla.org/show_bug.cgi?id=558970;PROBLEM_DESCRIPTION,PROBLEM_MOTIVATION,POTENTIAL_SOLUTION_DESIGN,CODE_IMPLEMENTATION,CODE_IMPLEMENTATION,CODE_REVIEW,CODE_IMPLEMENTATION,CODE_REVIEW,CODE_REVIEW,CODE_REVIEW,CODE_REVIEW,CODE_REVIEW,CODE_REVIEW,CODE_REVIEW,CODE_REVIEW,NEW_ISSUE_FILING,CODE_REVIEW,CODE_REVIEW,QUESTION,ANSWER_TO_QUESTION,CLARIFICATION,QUESTION,POTENTIAL_SOLUTION_DESIGN,ANSWER_TO_QUESTION,STATUS_UPDATE,CODE_IMPLEMENTATION,QUESTION,SOLUTION_REVIEW,NEW_ISSUE_FILING,NEW_ISSUE_FILING;PRB_DES,PRB_MOTIV,POT_SOL_DES,COD_IMP,COD_IMP,COD_REV,COD_IMP,COD_REV,COD_REV,COD_REV,COD_REV,COD_REV,COD_REV,COD_REV,COD_REV,FLD_NW_ISUE,COD_REV,COD_REV,QUESTN,ANS_TO_Q,CLARIFTN,QUESTN,POT_SOL_DES,ANS_TO_Q,STATS_UP,COD_IMP,QUESTN,SOL_REV,FLD_NW_ISUE,FLD_NW_ISUE;PRB_DES,PRB_MOTIV,POT_SOL_DES,COD_IMP,COD_IMP,COD_REV,COD_IMP,COD_REV,COD_REV,COD_REV,COD_REV,COD_REV,COD_REV,COD_REV,COD_REV,COD_REV,COD_REV,POT_SOL_DES,COD_IMP,SOL_REV;ISU_DES,SOL_DES,IMPL,CR,IMPL,CR,SOL_DES,IMPL,SOL_DES;ISU_DES,SOL_DES,IMPL,CR,IMPL,CR,SOL_DES,IMPL,SOL_DES;ISU_DES,SOL_DES,IMPL,CR,SOL_DES,IMPL,SOL_DES;ISU_DES,SOL_DES,IMPL,CR,SOL_DES,IMPL,SOL_DES;ISU_DES,SOL_DES,IMPL,CR;CR,IMPL,ISU_DES,SOL_DES;30;30;9;9;7;7
561168;https://bugzilla.mozilla.org/show_bug.cgi?id=561168;PROBLEM_DESCRIPTION,PROBLEM_MOTIVATION,CODE_IMPLEMENTATION,QUESTION,ANSWER_TO_QUESTION,CODE_REVIEW,CODE_IMPLEMENTATION,CODE_IMPLEMENTATION,CODE_IMPLEMENTATION,CODE_IMPLEMENTATION,CODE_IMPLEMENTATION,CODE_IMPLEMENTATION,CODE_REVIEW,QUESTION,QUESTION,QUESTION,ANSWER_TO_QUESTION,CODE_REVIEW,CODE_REVIEW,CODE_REVIEW,ANSWER_TO_QUESTION,ANSWER_TO_QUESTION,CODE_IMPLEMENTATION,CODE_REVIEW,QUESTION,QUESTION,QUESTION,QUESTION,QUESTION,QUESTION,QUESTION,CODE_IMPLEMENTATION,CODE_IMPLEMENTATION,ANSWER_TO_QUESTION,ANSWER_TO_QUESTION,CODE_REVIEW,CODE_IMPLEMENTATION,CODE_IMPLEMENTATION,SOLUTION_VERIFICATION,CODE_IMPLEMENTATION,CODE_REVIEW;PRB_DES,PRB_MOTIV,COD_IMP,QUESTN,ANS_TO_Q,COD_REV,COD_IMP,COD_IMP,COD_IMP,COD_IMP,COD_IMP,COD_IMP,COD_REV,QUESTN,QUESTN,QUESTN,ANS_TO_Q,COD_REV,COD_REV,COD_REV,ANS_TO_Q,ANS_TO_Q,COD_IMP,COD_REV,QUESTN,QUESTN,QUESTN,QUESTN,QUESTN,QUESTN,QUESTN,COD_IMP,COD_IMP,ANS_TO_Q,ANS_TO_Q,COD_REV,COD_IMP,COD_IMP,SOL_VER,COD_IMP,COD_REV;PRB_DES,PRB_MOTIV,COD_IMP,COD_REV,COD_IMP,COD_IMP,COD_IMP,COD_IMP,COD_IMP,COD_IMP,COD_REV,COD_REV,COD_REV,COD_REV,COD_IMP,COD_REV,COD_IMP,COD_IMP,COD_REV,COD_IMP,COD_IMP,SOL_VER,COD_IMP,COD_REV;ISU_DES,IMPL,CR,IMPL,CR,IMPL,CR,IMPL,CR,IMPL,VER,IMPL,CR;ISU_DES,IMPL,CR,IMPL,CR,IMPL,CR,IMPL,CR,IMPL,VER,IMPL,CR;ISU_DES,IMPL,CR,IMPL,VER,IMPL,CR;ISU_DES,IMPL,CR,IMPL,VER,IMPL,CR;ISU_DES,IMPL,CR,VER;CR,IMPL,ISU_DES,VER;41;41;13;13;7;7
576837;https://bugzilla.mozilla.org/show_bug.cgi?id=576837;PROBLEM_DESCRIPTION,REPRODUCTION_ATTEMPT,REPRODUCTION_ATTEMPT,PROBLEM_CAUSE_IDENTIFICATION,CODE_IMPLEMENTATION,CODE_REVIEW,CLARIFICATION,CLARIFICATION,CLARIFICATION,STATUS_UPDATE,CODE_IMPLEMENTATION,CODE_REVIEW,CLARIFICATION,CODE_REVIEW,CODE_REVIEW,CODE_REVIEW,CODE_REVIEW,CODE_REVIEW,CODE_IMPLEMENTATION,IMPLEMENTATION_REVERSION,CODE_IMPLEMENTATION,STATUS_UPDATE,QUESTION,CODE_IMPLEMENTATION;PRB_DES,REP_ATT,REP_ATT,PRB_CUS_IDN,COD_IMP,COD_REV,CLARIFTN,CLARIFTN,CLARIFTN,STATS_UP,COD_IMP,COD_REV,CLARIFTN,COD_REV,COD_REV,COD_REV,COD_REV,COD_REV,COD_IMP,IMP_REVRSN,COD_IMP,STATS_UP,QUESTN,COD_IMP;PRB_DES,REP_ATT,REP_ATT,PRB_CUS_IDN,COD_IMP,COD_REV,COD_IMP,COD_REV,COD_REV,COD_REV,COD_REV,COD_REV,COD_REV,COD_IMP,IMP_REVRSN,COD_IMP,COD_IMP;ISU_DES,ISU_REP,ISU_ANLYS,IMPL,CR,IMPL,CR,IMPL,VER,IMPL;ISU_DES,ISU_REP,ISU_ANLYS,IMPL,CR,IMPL,CR,IMPL,VER,IMPL;ISU_DES,ISU_REP,ISU_ANLYS,IMPL,CR,IMPL,VER,IMPL;ISU_DES,ISU_REP,ISU_ANLYS,IMPL,CR,IMPL,VER,IMPL;ISU_DES,ISU_REP,ISU_ANLYS,IMPL,CR,VER;CR,IMPL,ISU_ANLYS,ISU_DES,ISU_REP,VER;24;24;10;10;8;8
577462;https://bugzilla.mozilla.org/show_bug.cgi?id=577462;PROBLEM_DESCRIPTION,CODE_IMPLEMENTATION,CODE_IMPLEMENTATION,CODE_REVIEW;PRB_DES,COD_IMP,COD_IMP,COD_REV;PRB_DES,COD_IMP,COD_IMP,COD_REV;ISU_DES,IMPL,CR;ISU_DES,IMPL,CR;ISU_DES,IMPL,CR;ISU_DES,IMPL,CR;ISU_DES,IMPL,CR;CR,IMPL,ISU_DES;4;4;3;3;3;3
590389;https://bugzilla.mozilla.org/show_bug.cgi?id=590389;PROBLEM_DESCRIPTION,PROBLEM_MOTIVATION,CODE_IMPLEMENTATION;PRB_DES,PRB_MOTIV,COD_IMP;PRB_DES,PRB_MOTIV,COD_IMP;ISU_DES,IMPL;ISU_DES,IMPL;ISU_DES,IMPL;ISU_DES,IMPL;ISU_DES,IMPL;IMPL,ISU_DES;3;3;2;2;2;2
596726;https://bugzilla.mozilla.org/show_bug.cgi?id=596726;PROBLEM_DESCRIPTION,PROBLEM_DESCRIPTION,S2R,PROBLEM_DESCRIPTION,REPRODUCTION_ATTEMPT,SOLVED_BY_OTHER_ISSUE;PRB_DES,PRB_DES,S2R,PRB_DES,REP_ATT,SLVD_BY_ISUE;PRB_DES,PRB_DES,S2R,PRB_DES,REP_ATT;ISU_DES,ISU_REP;ISU_DES,ISU_REP;ISU_DES,ISU_REP;ISU_DES,ISU_REP;ISU_DES,ISU_REP;ISU_DES,ISU_REP;6;6;2;2;2;2
