,Tri-gram,# of issues containing tri-gram,# of issues containing 1st step,# of issues containing 2nd step,# of issues containing 3rd step,# of issues containing all three steps,Total occurrences of tri-gram
0,"ISU_DES,ISU_ANLYS,SOL_DES",38,356,134,150,69,38
1,"ISU_ANLYS,SOL_DES,IMPL",39,134,150,328,65,41
2,"IMPL,VER,CR",14,328,146,174,82,14
3,"ISU_DES,SOL_DES,IMPL",50,356,150,328,142,50
4,"SOL_DES,IMPL,VER",30,150,328,146,79,30
5,"VER,CR,IMPL",5,146,174,328,82,5
6,"CR,IMPL,CR",44,174,328,174,174,79
7,"IMPL,CR,IMPL",80,328,174,328,174,132
8,"ISU_ANLYS,IMPL,CR",31,134,328,174,63,32
9,"ISU_DES,ISU_ANLYS,IMPL",42,356,134,328,117,42
10,"ISU_REP,SOL_DES,ISU_REP",2,47,150,47,25,2
11,"IMPL,CR,VER",35,328,174,146,82,38
12,"SOL_DES,IMPL,CR",47,150,328,174,80,54
13,"SOL_DES,ISU_REP,SOL_DES",3,150,47,150,25,4
14,"ISU_DES,SOL_DES,ISU_REP",6,356,150,47,25,6
15,"ISU_REP,SOL_DES,IMPL",5,47,150,328,23,5
16,"IMPL,CR,SOL_DES",18,328,174,150,80,23
17,"CR,SOL_DES,IMPL",13,174,150,328,80,19
18,"SOL_DES,IMPL,SOL_DES",14,150,328,150,142,15
19,"ISU_DES,IMPL,CR",77,356,328,174,174,77
20,"CR,IMPL,VER",30,174,328,146,82,31
21,"IMPL,VER,IMPL",39,328,146,328,137,47
22,"VER,IMPL,CR",13,146,328,174,82,14
23,"ISU_DES,ISU_REP,ISU_ANLYS",12,356,47,134,34,14
24,"ISU_REP,ISU_ANLYS,IMPL",9,47,134,328,28,9
25,"ISU_ANLYS,ISU_REP,CR",1,134,47,174,17,1
26,"ISU_DES,ISU_ANLYS,ISU_REP",15,356,134,47,34,15
27,"IMPL,ISU_DES,ISU_ANLYS",1,328,356,134,117,1
28,"ISU_REP,CR,VER",1,47,174,146,16,1
29,"ISU_DES,IMPL,ISU_DES",7,356,328,356,328,7
