issue_id;url;code_seq_with_all_codes;code_seq_abbreviated;code_seq_with_selected_codes;stage_seq_with_selected_codes;n_code_seq_all_codes;n_code_seq_selected_codes;n_stage_seq_selected_codes
1482681;https://bugzilla.mozilla.org/show_bug.cgi?id=1482681;PROBLEM_LOCALIZATION,CODE_IMPLEMENTATION,CODE_REVIEW,CODE_REVIEW,CODE_REVIEW,NEW_ISSUE_FILING;PRB_LOC,COD_IMP,COD_REV,COD_REV,COD_REV,FLD_NW_ISUE;PRB_LOC,COD_IMP,COD_REV,COD_REV,COD_REV;ISU_ANLYS,IMPL,CR;6;6;3
1485422;https://bugzilla.mozilla.org/show_bug.cgi?id=1485422;CODE_IMPLEMENTATION,CODE_REVIEW,CODE_REVIEW,SOLUTION_VERIFICATION;COD_IMP,COD_REV,COD_REV,SOL_VER;COD_IMP,COD_REV,COD_REV,SOL_VER;IMPL,CR,VER;4;4;3
1486074;https://bugzilla.mozilla.org/show_bug.cgi?id=1486074;PROBLEM_CAUSE_IDENTIFICATION,CODE_IMPLEMENTATION,CODE_REVIEW,CODE_REVIEW;PRB_CUS_IDN,COD_IMP,COD_REV,COD_REV;PRB_CUS_IDN,COD_IMP,COD_REV,COD_REV;ISU_ANLYS,IMPL,CR;4;4;3
1487135;https://bugzilla.mozilla.org/show_bug.cgi?id=1487135;POTENTIAL_SOLUTION_DESIGN,CODE_IMPLEMENTATION,CODE_REVIEW,CODE_REVIEW,CODE_IMPLEMENTATION;POT_SOL_DES,COD_IMP,COD_REV,COD_REV,COD_IMP;POT_SOL_DES,COD_IMP,COD_REV,COD_REV,COD_IMP;SOL_DES,IMPL,CR,IMPL;5;5;4
1494092;https://bugzilla.mozilla.org/show_bug.cgi?id=1494092;CODE_IMPLEMENTATION,COLLATERAL_PROBLEM_ANALYSIS,COLLATERAL_PROBLEM_ANALYSIS,COLLATERAL_PROBLEM_ANALYSIS,COLLATERAL_POTENTIAL_SOLUTION,NEW_ISSUE_FILING,CODE_IMPLEMENTATION,CODE_REVIEW,SOLUTION_VERIFICATION;COD_IMP,CO_PRB_CUS,CO_PRB_CUS,CO_PRB_CUS,CO_POT_SOL,FLD_NW_ISUE,COD_IMP,COD_REV,SOL_VER;COD_IMP,CO_PRB_CUS,CO_PRB_CUS,CO_PRB_CUS,CO_POT_SOL,COD_IMP,COD_REV,SOL_VER;IMPL,VER,IMPL,CR,VER;9;9;5
1506200;https://bugzilla.mozilla.org/show_bug.cgi?id=1506200;PROBLEM_REVIEW_REQUEST,PROBLEM_REVIEW,CODE_IMPLEMENTATION,CODE_REVIEW,CODE_REVIEW_REQUEST;PRB_REV_REQ,PRB_REV,COD_IMP,COD_REV,COD_REV_REQ;PRB_REV,COD_IMP,COD_REV;ISU_ANLYS,IMPL,CR;5;5;3
1509994;https://bugzilla.mozilla.org/show_bug.cgi?id=1509994;CODE_IMPLEMENTATION,CODE_REVIEW,CODE_IMPLEMENTATION,CODE_REVIEW,CODE_IMPLEMENTATION,CODE_REVIEW,CODE_IMPLEMENTATION,CODE_REVIEW,CODE_IMPLEMENTATION;COD_IMP,COD_REV,COD_IMP,COD_REV,COD_IMP,COD_REV,COD_IMP,COD_REV,COD_IMP;COD_IMP,COD_REV,COD_IMP,COD_REV,COD_IMP,COD_REV,COD_IMP,COD_REV,COD_IMP;IMPL,CR,IMPL,CR,IMPL,CR,IMPL,CR,IMPL;9;9;9
1510786;https://bugzilla.mozilla.org/show_bug.cgi?id=1510786;REPRODUCTION_ATTEMPT,REPRODUCTION_REQUEST,POTENTIAL_SOLUTION_DESIGN,POTENTIAL_SOLUTION_DESIGN,SOLUTION_REVIEW_REQUEST,POTENTIAL_SOLUTION_DESIGN,CODE_IMPLEMENTATION,VERIFICATION_REQUEST,CODE_REVIEW,SOLUTION_VERIFICATION,CODE_IMPLEMENTATION,CODE_REVIEW,SOLUTION_VERIFICATION;REP_ATT,REP_REQ,POT_SOL_DES,POT_SOL_DES,SOL_REV_REQ,POT_SOL_DES,COD_IMP,VER_REQ,COD_REV,SOL_VER,COD_IMP,COD_REV,SOL_VER;REP_ATT,POT_SOL_DES,POT_SOL_DES,POT_SOL_DES,COD_IMP,COD_REV,SOL_VER,COD_IMP,COD_REV,SOL_VER;ISU_REP,SOL_DES,IMPL,CR,VER,IMPL,CR,VER;13;13;8
1513854;https://bugzilla.mozilla.org/show_bug.cgi?id=1513854;POTENTIAL_SOLUTION_DESIGN,CODE_IMPLEMENTATION,CODE_REVIEW,SOLUTION_REVIEW_REQUEST,POTENTIAL_SOLUTION_DESIGN,SOLUTION_REVIEW,POTENTIAL_SOLUTION_DESIGN,CODE_IMPLEMENTATION,CODE_REVIEW_REQUEST,CODE_IMPLEMENTATION,CODE_REVIEW,IMPLEMENTATION_REVERSION,CODE_IMPLEMENTATION,CODE_IMPLEMENTATION,SOLUTION_VERIFICATION;POT_SOL_DES,COD_IMP,COD_REV,SOL_REV_REQ,POT_SOL_DES,SOL_REV,POT_SOL_DES,COD_IMP,COD_REV_REQ,COD_IMP,COD_REV,IMP_REVRSN,COD_IMP,COD_IMP,SOL_VER;POT_SOL_DES,COD_IMP,COD_REV,POT_SOL_DES,SOL_REV,POT_SOL_DES,COD_IMP,COD_IMP,COD_REV,IMP_REVRSN,COD_IMP,COD_IMP,SOL_VER;SOL_DES,IMPL,CR,SOL_DES,IMPL,CR,VER,IMPL,VER;15;15;9
1514429;https://bugzilla.mozilla.org/show_bug.cgi?id=1514429;POTENTIAL_SOLUTION_DESIGN,PROBLEM_CAUSE_IDENTIFICATION,PROBLEM_REVIEW,POTENTIAL_SOLUTION_DESIGN,SOLUTION_REVIEW,SOLUTION_REVIEW,SOLUTION_REVIEW,POTENTIAL_SOLUTION_DESIGN,SOLUTION_REVIEW,SOLUTION_REVIEW,CODE_IMPLEMENTATION,CODE_REVIEW,CODE_REVIEW,SOLUTION_REVIEW,POTENTIAL_SOLUTION_DESIGN,NEW_ISSUE_FILING,PROBLEM_CAUSE_IDENTIFICATION,PROBLEM_CAUSE_IDENTIFICATION,CODE_IMPLEMENTATION,CODE_REVIEW,CODE_IMPLEMENTATION,CODE_REVIEW,CODE_IMPLEMENTATION,CODE_REVIEW;POT_SOL_DES,PRB_CUS_IDN,PRB_REV,POT_SOL_DES,SOL_REV,SOL_REV,SOL_REV,POT_SOL_DES,SOL_REV,SOL_REV,COD_IMP,COD_REV,COD_REV,SOL_REV,POT_SOL_DES,FLD_NW_ISUE,PRB_CUS_IDN,PRB_CUS_IDN,COD_IMP,COD_REV,COD_IMP,COD_REV,COD_IMP,COD_REV;POT_SOL_DES,PRB_CUS_IDN,PRB_REV,POT_SOL_DES,SOL_REV,SOL_REV,SOL_REV,POT_SOL_DES,SOL_REV,SOL_REV,COD_IMP,COD_REV,COD_REV,SOL_REV,POT_SOL_DES,PRB_CUS_IDN,PRB_CUS_IDN,COD_IMP,COD_REV,COD_IMP,COD_REV,COD_IMP,COD_REV;SOL_DES,ISU_ANLYS,SOL_DES,IMPL,CR,SOL_DES,ISU_ANLYS,IMPL,CR,IMPL,CR,IMPL,CR;24;24;13
